ID,RowID,LTARSite.Code,Category,DataSetVariableName,AttributeDescription,Units,TemporalResolution,TemporalResolutionStandard,StartDate,StartDateStandard,StartDateAgCROS,EndDate,EndDateStandard,EndDateAgCros,DateDif_yrs,ResponsiblePersons,StorageFormat,URLdataAccess,LocationIDoutsideNetwork,SpatialRepeats,SpatialDescription,PublicAccess,Network.Category,AgCROS.Table,AgCROS.VarName,NALT.Keywords,subsite,Repo.Name,Model.Name,NALT.Subject,ISO.Topic,Common.Experiment,trl
ABS-UF0050,,ABS-UF,Forage,phosphorus,"biomass, aboveground, litter, RCREC",g/kg,Irregular,,2007,2007,,Present,now,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Phosphorus,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,irregular
ABS-UF0051,,ABS-UF,Forage,lignin,"biomass, belowground, RCREC",g/kg,Irregular,,2010,2010,,2011,2011,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Lignin, biomass, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,irregular
ABS-UF0052,,ABS-UF,Forage,lignin,"biomass, belowground, RCREC",g/kg,Irregular,,2017,2017,,Present,now,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Lignin, biomass, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,irregular
ABS-UF0053,,ABS-UF,Forage,nitrogen,"biomass, belowground, RCREC",g/kg,Irregular,,2010,2010,,2011,2011,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Nitrogen, belowground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,irregular
ABS-UF0054,,ABS-UF,Forage,nitrogen,"biomass, belowground, RCREC",g/kg,Irregular,,2017,2017,,Present,now,,,,excel files,,,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Nitrogen, belowground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,irregular
ABS-UF0055,,ABS-UF,Forage,crude protein,"pre-burn, post-burn, post-stocking, wetlands",%,Yearly,1 year,2006,2006,,2007,2007,,,,"excel files, access db",,,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",crude protein,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,yearly
ABS-UF0056,,ABS-UF,Forage,Ca,"wetlands, embedded wetlands in pastures, variable stocking rate",%,Yearly,1 year,2006,2006,,2007,2007,,,,excel files,,,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Ca,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,yearly
ABS-UF0057,,ABS-UF,Forage,Cu,"wetlands, embedded wetlands in pastures, variable stocking rate",ppm,Yearly,1 year,2006,2006,,2007,2007,,,,excel files,,,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Cu,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,yearly
ABS-UF0058,,ABS-UF,Forage,Fe,"wetlands, embedded wetlands in pastures, variable stocking rate",ppm,Yearly,1 year,2006,2006,,2007,2007,,,,excel files,,,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Fe,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,yearly
ABS-UF0059,,ABS-UF,Forage,fiber,"wetlands, embedded wetlands in pastures, variable stocking rate",%,Yearly,1 year,2006,2006,,2007,2007,,,,excel files,,,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Acid Detergent Fiber, plant tissue, grans per kilogram","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,yearly
ABS-UF0060,,ABS-UF,Forage,horse digestible energy,"wetlands, embedded wetlands in pastures, variable stocking rate",Mcal/lb,Yearly,1 year,2006,2006,,2007,2007,,,,excel files,,,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Horse DE,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,yearly
ABS-UF0061,,ABS-UF,Forage,horse total digestible nutrients,"wetlands, embedded wetlands in pastures, variable stocking rate",%,Yearly,1 year,2006,2006,,2007,2007,,,,excel files,,,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",horse tdn,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,yearly
ABS-UF0062,,ABS-UF,Forage,in vitro digestibility,"wetlands, embedded wetlands in pastures, variable stocking rate, in vitro digestibility of forage",%,Yearly,1 year,2006,2006,,2007,2007,,,,excel files,,,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",ivtd [48h],"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,yearly
ABS-UF0063,,ABS-UF,Forage,K,"wetlands, embedded wetlands in pastures, variable stocking rate",%,Yearly,1 year,2006,2006,,2007,2007,,,,excel files,,,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",K,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,yearly
ABS-UF0064,,ABS-UF,Forage,Mb,"wetlands, embedded wetlands in pastures, variable stocking rate",ppm,Yearly,1 year,2006,2006,,2007,2007,,,,excel files,,,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Mb,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,yearly
ABS-UF0065,,ABS-UF,Forage,Mg,"wetlands, embedded wetlands in pastures, variable stocking rate",%,Yearly,1 year,2006,2006,,2007,2007,,,,excel files,,,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Mg,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,yearly
ABS-UF0066,,ABS-UF,Forage,Mn,"wetlands, embedded wetlands in pastures, variable stocking rate",ppm,Yearly,1 year,2006,2006,,2007,2007,,,,excel files,,,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Mn,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,yearly
ABS-UF0067,,ABS-UF,Forage,moisture,"wetlands, embedded wetlands in pastures, variable stocking rate, secondary dataset",%,Yearly,1 year,2006,2006,,2007,2007,,,,excel files,,,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Moisture in plant fraction, plant tissue","Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,yearly
ABS-UF0068,,ABS-UF,Forage,Na,"wetlands, embedded wetlands in pastures, variable stocking rate",%,Yearly,1 year,2006,2006,,2007,2007,,,,excel files,,,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Na,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,yearly
ABS-UF0069,,ABS-UF,Forage,neutral detergent fiber digestibility,"wetlands, embedded wetlands in pastures, variable stocking rate, ndfd",%,Yearly,1 year,2006,2006,,2007,2007,,,,excel files,,,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",ndfd [48h],"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,yearly
ABS-UF0070,,ABS-UF,Forage,net energy for tissue gain,"wetlands, embedded wetlands in pastures, variable stocking rate",Mcal/lb,Yearly,1 year,2006,2006,,2007,2007,,,,excel files,,,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",NEG,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,yearly
ABS-UF0071,,ABS-UF,Forage,net energy for lactation,"wetlands, embedded wetlands in pastures, variable stocking rate",Mcal/lb,Yearly,1 year,2006,2006,,2007,2007,,,,excel files,,,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",NEL,"Vegetation, Grazing, Biomass",,,,"Natural Resources, Earth and Environmental Sciences",biota,,yearly
