Sort,ID,RowID,LTARSiteCode,Category,DataSetVariableName,AttributeDescription,Units,TemporalResolution,TemporalResolutionStandard,StartDate,StartDateStandard,StartDateAgCROS,EndDate,EndDateStandard,EndDateAgCros,DateDif_yrs,ResponsiblePersons,StorageFormat,URLdataAccess,LocationIDoutsideNetwork,SpatialRepeats,SpatialDescription,PublicAccess,Network.Category,AgCROS.Table,AgCROS.VarName,NALTKeywords,subsite,RepoName,ModelName,NALTSubject,ISOTopic,CommonExperiment,trl,AgCROS.VarNameC
11,ABS-UF0011,NA,ABS-UF,Eddy Covariance,Vapour density,NA,g/m3,30 min,30 minute,2016,2016,NA,Present,now,NA,NA,NA,.dat files,NA,NA,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux",Vapor pressure,Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,
12,ABS-UF0012,NA,ABS-UF,Eddy Covariance,Vapour pressure,NA,kPa,30 min,30 minute,2016,2016,NA,Present,now,NA,NA,NA,.dat files,NA,NA,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux","vapor pressure, mean",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,vaporPressure
13,ABS-UF0013,NA,ABS-UF,Eddy Covariance,Albedo,NA,arb,30 min,30 minute,2012,2012,NA,Present,now,NA,NA,NA,.dat files,NA,NA,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux",Albedo,Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,
14,ABS-UF0014,NA,ABS-UF,Eddy Covariance,Longwave radiation,"net, max, min",W/m2,30 min,30 minute,2012,2012,NA,Present,now,NA,NA,NA,.dat files,NA,NA,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux",ave_incoming_longwave radiation,Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,
15,ABS-UF0015,NA,ABS-UF,Eddy Covariance,Net radiation,NA,W/m2,30 min,30 minute,2012,2012,NA,Present,now,NA,NA,NA,.dat files,NA,NA,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux","radiation, net, timestep, mean",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,
16,ABS-UF0016,NA,ABS-UF,Eddy Covariance,Sensible heat flux,NA,W/m2,30 min,30 minute,2012,2012,NA,Present,now,NA,NA,NA,.dat files,NA,NA,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux","Heat, flux",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,
17,ABS-UF0017,NA,ABS-UF,Eddy Covariance,Shortwave radiation,"net, max, min",W/m2,30 min,30 minute,2012,2012,NA,Present,now,NA,NA,NA,.dat files,NA,NA,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux",ave_incoming_shortwave radiation,Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,
18,ABS-UF0018,NA,ABS-UF,Eddy Covariance,T dew,NA,C,30 min,30 minute,2012,2012,NA,Present,now,NA,NA,NA,.dat files,NA,NA,5,EC towers,Closed,Eddy Covariance,"AmeriFlux, MeasGHGFlux","Dew point, air, daily, mean",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,
19,ABS-UF0019,NA,ABS-UF,Eddy Covariance,CH4 conc,NA,W/m2,30 min,30 minute,2016,2016,NA,Present,now,NA,NA,NA,.dat files,NA,NA,5,EC towers,Closed,Meteorology,AmeriFlux,"Methane, air, daily, mean or single measurement",Meteorology,NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,
20,ABS-UF0020,NA,ABS-UF,Eddy Covariance,CH4 flux,NA,W/m2,30 min,30 minute,2016,2016,NA,Present,now,NA,NA,NA,.dat files,NA,NA,5,EC towers,Closed,Meteorology,AmeriFlux,"Methane, air, daily, mean or single measurement",Meteorology,NA,NAL Met Data Dashboard,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,30 min,
21,ABS-UF0021,NA,ABS-UF,Evapotranspiration,height,"evapotranspiration, shadehouse experiment",cm/day,weekly,1 week,1/1/2018,1/1/2018,NA,12/31/2018,12/31/2018,NA,NA,Amartya Saha,excel files,NA,NA,1,shadehouse,Open,Meteorology,"WeatherDaily, WeatherStation","Evaporation, open pan, no media, daily","Hydrology, Evapotranspiration",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,weekly,
22,ABS-UF0022,NA,ABS-UF,Evapotranspiration,weight,"evapotranspiration, shadehouse experiment",g/day,3 times/week,0 week,1/1/2018,1/1/2018,NA,12/31/2018,12/31/2018,NA,NA,Amartya Saha,excel files,NA,NA,1,shadehouse,Open,Meteorology,"WeatherDaily, WeatherStation","Evaporation, open pan, no media, daily","Hydrology, Evapotranspiration",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",climatologyMeteorologyAtmosphere,NA,3 times/week,
23,ABS-UF0023,NA,ABS-UF,Forage,plant height,"pre-burn, post-burn, post-stocking, biomass, aboveground",cm,Irregular,NA,2016,2016,NA,Present,now,NA,NA,NA,"excel files, access db",NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Plant Height,"Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,irregular,
24,ABS-UF0024,NA,ABS-UF,Forage,phosphorus,"biomass, forage, hay, baseline P",%,Irregular,NA,2016,2016,NA,Present,now,NA,NA,NA,"excel files, access db",NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Phosphorus,"Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,irregular,phosphorus
25,ABS-UF0025,NA,ABS-UF,Forage,productivity,"pre-burn, post-burn, post-stocking, biomass, aboveground",g/m2,Irregular,NA,2016,2016,NA,Present,now,NA,NA,NA,"excel files, access db",NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Biomass, aboveground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,irregular,biomass
26,ABS-UF0026,NA,ABS-UF,Forage,crude protein,"variable stocking rate, biomass, aboveground",%,monthly,1 month,1999,1999,NA,2003,2003,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",crude protein,"Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,monthly,
27,ABS-UF0027,NA,ABS-UF,Forage,in vitro organic matter digestibility,"variable stocking rate, biomass, aboveground, ivomd",%,monthly,1 month,1999,1999,NA,2003,2003,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",organic C,"Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,monthly,"Biomass, aboveground live, plant tissue, mean or single measurement"
28,ABS-UF0028,NA,ABS-UF,Forage,phosphorus,"variable stocking rate, biomass, aboveground",%,monthly,1 month,1999,1999,NA,2003,2003,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Phosphorus,"Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,monthly,phosphorus
29,ABS-UF0029,NA,ABS-UF,Forage,phosphorus,"variable stocking rate, biomass, belowground",%,monthly,1 month,1999,1999,NA,2003,2003,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Phosphorus,"Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,monthly,phosphorus
30,ABS-UF0030,NA,ABS-UF,Forage,carbon,"variable stocking rate, biomass, aboveground",%,monthly,1 month,1999,1999,NA,2003,2003,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Carbon, aboveground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,monthly,carbon
31,ABS-UF0031,NA,ABS-UF,Forage,carbon,"variable stocking rate, biomass, belowground",%,monthly,1 month,1999,1999,NA,2003,2003,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Carbon, belowground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,monthly,carbon
32,ABS-UF0032,NA,ABS-UF,Forage,productivity,"variable stocking rate, biomass, aboveground",kg/ha,monthly,1 month,1999,1999,NA,2003,2003,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Biomass, aboveground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,monthly,biomass
33,ABS-UF0033,NA,ABS-UF,Forage,productivity,"variable stocking rate, biomass, belowground",kg/ha,monthly,1 month,1999,1999,NA,2003,2003,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Biomass, belowground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,monthly,biomass
34,ABS-UF0034,NA,ABS-UF,Forage,nitrogen,"variable stocking rate, biomass, aboveground",%,monthly,1 month,1999,1999,NA,2003,2003,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Nitrogen, aboveground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,monthly,nitrogen
35,ABS-UF0035,NA,ABS-UF,Forage,nitrogen,"variable stocking rate, biomass, belowground",%,monthly,1 month,1999,1999,NA,2003,2003,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Nitrogen, belowground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,monthly,nitrogen
36,ABS-UF0036,NA,ABS-UF,Forage,productivity,"biomass, aboveground, variable stocking rate, forage quality",g/m2,monthly,1 month,2016,2016,NA,Present,now,NA,NA,NA,"excel files, access db",NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Biomass, aboveground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,monthly,biomass
37,ABS-UF0037,NA,ABS-UF,Forage,in vitro organic matter digestibility,"biomass, aboveground, variable stocking rate, forage quality",%,monthly,1 month,2016,2016,NA,Present,now,NA,NA,NA,"excel files, access db",NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",organic C,"Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,monthly,"Biomass, aboveground live, plant tissue, mean or single measurement"
38,ABS-UF0038,NA,ABS-UF,Forage,nitrogen,"biomass, aboveground, variable stocking rate, forage quality",%,monthly,1 month,2016,2016,NA,Present,now,NA,NA,NA,"excel files, access db",NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Nitrogen, aboveground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,monthly,nitrogen
39,ABS-UF0039,NA,ABS-UF,Forage,organic matter,"biomass, aboveground, variable stocking rate, forage quality",%,monthly,1 month,2016,2016,NA,Present,now,NA,NA,NA,"excel files, access db",NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",organic C,"Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,monthly,
40,ABS-UF0040,NA,ABS-UF,Forage,crude protein,"biomass, aboveground, variable stocking rate, forage quality",%,monthly,1 month,2016,2016,NA,Present,now,NA,NA,NA,"excel files, access db",NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",crude protein,"Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,monthly,
41,ABS-UF0041,NA,ABS-UF,Forage,phosphorus,"biomass, aboveground, variable stocking rate, forage quality",%,monthly,1 month,2016,2016,NA,Present,now,NA,NA,NA,"excel files, access db",NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Phosphorus,"Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,monthly,phosphorus
42,ABS-UF0042,NA,ABS-UF,Forage,crude protein,"forage quality, biomass, RCREC",g/kg,Irregular,NA,2007,2007,NA,Present,now,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",crude protein,"Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,irregular,
43,ABS-UF0043,NA,ABS-UF,Forage,digestibility,"forage quality, biomass, RCREC",g/kg,Irregular,NA,2007,2007,NA,Present,now,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",digestibility,"Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,irregular,
44,ABS-UF0044,NA,ABS-UF,Forage,lignin,"forage quality, biomass, RCREC",g/kg,Irregular,NA,2007,2007,NA,Present,now,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Lignin, biomass, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,irregular,
45,ABS-UF0045,NA,ABS-UF,Forage,productivity,"biomass, RCREC, aboveground",kg/ha,Irregular,NA,2007,2007,NA,Present,now,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Biomass, aboveground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,irregular,biomass
46,ABS-UF0046,NA,ABS-UF,Forage,productivity,"biomass, RCREC, belowground",kg/ha,Irregular,NA,2010,2010,NA,2011,2011,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Biomass, belowground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,irregular,biomass
47,ABS-UF0047,NA,ABS-UF,Forage,productivity,"biomass, RCREC, belowground",kg/ha,Irregular,NA,2017,2017,NA,Present,now,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Biomass, belowground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,irregular,biomass
48,ABS-UF0048,NA,ABS-UF,Forage,carbon,"biomass, aboveground, litter, RCREC",g/kg,Irregular,NA,2007,2007,NA,Present,now,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Carbon, aboveground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,irregular,carbon
49,ABS-UF0049,NA,ABS-UF,Forage,nitrogen,"biomass, aboveground, litter, RCREC",g/kg,Irregular,NA,2007,2007,NA,Present,now,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Nitrogen, aboveground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,irregular,nitrogen
50,ABS-UF0050,NA,ABS-UF,Forage,phosphorus,"biomass, aboveground, litter, RCREC",g/kg,Irregular,NA,2007,2007,NA,Present,now,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Phosphorus,"Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,irregular,phosphorus
51,ABS-UF0051,NA,ABS-UF,Forage,lignin,"biomass, belowground, RCREC",g/kg,Irregular,NA,2010,2010,NA,2011,2011,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Lignin, biomass, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,irregular,
52,ABS-UF0052,NA,ABS-UF,Forage,lignin,"biomass, belowground, RCREC",g/kg,Irregular,NA,2017,2017,NA,Present,now,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Lignin, biomass, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,irregular,
53,ABS-UF0053,NA,ABS-UF,Forage,nitrogen,"biomass, belowground, RCREC",g/kg,Irregular,NA,2010,2010,NA,2011,2011,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Nitrogen, belowground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,irregular,nitrogen
54,ABS-UF0054,NA,ABS-UF,Forage,nitrogen,"biomass, belowground, RCREC",g/kg,Irregular,NA,2017,2017,NA,Present,now,NA,NA,NA,excel files,NA,NA,16,pastures,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Nitrogen, belowground live, plant tissue, mean or single measurement","Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,irregular,nitrogen
55,ABS-UF0055,NA,ABS-UF,Forage,crude protein,"pre-burn, post-burn, post-stocking, wetlands",%,Yearly,1 year,2006,2006,NA,2007,2007,NA,NA,NA,"excel files, access db",NA,NA,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",crude protein,"Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,yearly,
56,ABS-UF0056,NA,ABS-UF,Forage,Ca,"wetlands, embedded wetlands in pastures, variable stocking rate",%,Yearly,1 year,2006,2006,NA,2007,2007,NA,NA,NA,excel files,NA,NA,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Ca,"Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,yearly,calcium
57,ABS-UF0057,NA,ABS-UF,Forage,Cu,"wetlands, embedded wetlands in pastures, variable stocking rate",ppm,Yearly,1 year,2006,2006,NA,2007,2007,NA,NA,NA,excel files,NA,NA,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Cu,"Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,yearly,copper
58,ABS-UF0058,NA,ABS-UF,Forage,Fe,"wetlands, embedded wetlands in pastures, variable stocking rate",ppm,Yearly,1 year,2006,2006,NA,2007,2007,NA,NA,NA,excel files,NA,NA,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Fe,"Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,yearly,Iron
59,ABS-UF0059,NA,ABS-UF,Forage,fiber,"wetlands, embedded wetlands in pastures, variable stocking rate",%,Yearly,1 year,2006,2006,NA,2007,2007,NA,NA,NA,excel files,NA,NA,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction","Acid Detergent Fiber, plant tissue, grans per kilogram","Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,yearly,
60,ABS-UF0060,NA,ABS-UF,Forage,horse digestible energy,"wetlands, embedded wetlands in pastures, variable stocking rate",Mcal/lb,Yearly,1 year,2006,2006,NA,2007,2007,NA,NA,NA,excel files,NA,NA,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",Horse DE,"Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,yearly,
61,ABS-UF0061,NA,ABS-UF,Forage,horse total digestible nutrients,"wetlands, embedded wetlands in pastures, variable stocking rate",%,Yearly,1 year,2006,2006,NA,2007,2007,NA,NA,NA,excel files,NA,NA,40,wetlands,Open,Vegetation,"MeasGrazingPlants, MeasResidueMgt, MeasHarvestFraction",horse tdn,"Vegetation, Grazing, Biomass",NA,NA,NA,"Natural Resources, Earth and Environmental Sciences",biota,NA,yearly,
